Date,Daily Cases,Daily Hospitalizations,Daily Deaths,Daily Vaccine Doses,Cumulative Vaccine Doses
2/29/20,1,1,0,,
3/1/20,0,1,0,,
3/2/20,0,2,0,,
3/3/20,1,7,0,,
3/4/20,5,2,0,,
3/5/20,3,14,0,,
3/6/20,8,8,0,,
3/7/20,7,8,0,,
3/8/20,21,18,0,,
3/9/20,57,37,0,,
3/10/20,69,58,0,,
3/11/20,155,80,1,,
3/12/20,355,108,0,,
3/13/20,619,151,0,,
3/14/20,642,176,2,,
3/15/20,1035,210,4,,
3/16/20,2121,341,8,,
3/17/20,2452,385,8,,
3/18/20,2971,493,20,,
3/19/20,3706,627,24,,
3/20/20,4006,745,47,,
3/21/20,2638,740,44,,
3/22/20,2580,768,49,,
3/23/20,3570,1141,82,,
3/24/20,4498,1308,95,,
3/25/20,4874,1414,124,,
3/26/20,5044,1540,186,,
3/27/20,5118,1565,218,,
3/28/20,3479,1391,273,,
3/29/20,3560,1493,290,,
3/30/20,6129,1847,325,,
3/31/20,5458,1791,385,,
4/1/20,5448,1735,447,,
4/2/20,5747,1663,497,,
4/3/20,5669,1707,498,,
4/4/20,3864,1449,510,,
4/5/20,3780,1396,577,,
4/6/20,6353,1735,576,,
4/7/20,6042,1579,598,,
4/8/20,5576,1549,568,,
4/9/20,5071,1348,559,,
4/10/20,4510,1283,539,,
4/11/20,3733,1041,542,,
4/12/20,2888,946,572,,
4/13/20,3311,1147,570,,
4/14/20,4144,976,507,,
4/15/20,3876,865,454,,
4/16/20,3530,779,413,,
4/17/20,3584,787,384,,
4/18/20,2172,586,390,,
4/19/20,2344,533,399,,
4/20/20,3792,629,363,,
4/21/20,3063,586,323,,
4/22/20,3447,512,311,,
4/23/20,2841,443,330,,
4/24/20,2535,462,314,,
4/25/20,1595,327,264,,
4/26/20,1003,313,245,,
4/27/20,2289,367,269,,
4/28/20,2726,350,229,,
4/29/20,2340,311,237,,
4/30/20,2022,255,224,,
5/1/20,1887,262,210,,
5/2/20,1058,204,190,,
5/3/20,787,213,177,,
5/4/20,1549,240,158,,
5/5/20,1512,211,151,,
5/6/20,1398,214,151,,
5/7/20,1239,173,142,,
5/8/20,1080,172,131,,
5/9/20,657,122,99,,
5/10/20,457,102,103,,
5/11/20,1231,181,104,,
5/12/20,1285,114,90,,
5/13/20,1333,125,83,,
5/14/20,1110,144,70,,
5/15/20,873,124,86,,
5/16/20,485,93,83,,
5/17/20,360,81,77,,
5/18/20,895,114,59,,
5/19/20,1003,116,55,,
5/20/20,1077,78,79,,
5/21/20,1069,84,45,,
5/22/20,1036,102,66,,
5/23/20,455,74,60,,
5/24/20,467,88,48,,
5/25/20,464,78,47,,
5/26/20,1050,75,38,,
5/27/20,741,76,48,,
5/28/20,646,80,38,,
5/29/20,639,85,43,,
5/30/20,346,55,52,,
5/31/20,230,60,39,,
6/1/20,686,84,35,,
6/2/20,571,63,37,,
6/3/20,515,75,43,,
6/4/20,519,76,33,,
6/5/20,402,56,28,,
6/6/20,247,36,34,,
6/7/20,197,54,25,,
6/8/20,447,62,40,,
6/9/20,419,65,31,,
6/10/20,363,63,32,,
6/11/20,363,50,21,,
6/12/20,409,53,23,,
6/13/20,196,34,15,,
6/14/20,180,46,23,,
6/15/20,380,53,20,,
6/16/20,419,61,16,,
6/17/20,356,50,20,,
6/18/20,378,58,17,,
6/19/20,361,45,15,,
6/20/20,203,27,17,,
6/21/20,172,43,23,,
6/22/20,402,50,17,,
6/23/20,381,44,19,,
6/24/20,381,54,18,,
6/25/20,298,42,15,,
6/26/20,317,33,17,,
6/27/20,206,42,12,,
6/28/20,201,33,11,,
6/29/20,437,49,16,,
6/30/20,441,45,11,,
7/1/20,395,38,9,,
7/2/20,416,46,17,,
7/3/20,234,30,11,,
7/4/20,120,30,5,,
7/5/20,155,27,8,,
7/6/20,431,55,6,,
7/7/20,461,47,6,,
7/8/20,437,34,14,,
7/9/20,390,46,6,,
7/10/20,306,44,5,,
7/11/20,259,33,8,,
7/12/20,223,26,4,,
7/13/20,483,49,14,,
7/14/20,402,43,11,,
7/15/20,440,44,12,,
7/16/20,411,35,6,,
7/17/20,413,49,11,,
7/18/20,216,27,9,,
7/19/20,176,38,7,,
7/20/20,401,38,8,,
7/21/20,340,24,6,,
7/22/20,329,40,6,,
7/23/20,308,32,8,,
7/24/20,298,40,5,,
7/25/20,153,35,11,,
7/26/20,140,25,7,,
7/27/20,312,39,3,,
7/28/20,313,37,12,,
7/29/20,287,30,5,,
7/30/20,274,37,4,,
