Date,Cases,Hospitalizations,Deaths,Vaccine Doses,Cumulative Vaccine Doses
02/29/2020,1,1,0,0,0
03/01/2020,0,1,0,0,0
03/02/2020,0,2,0,0,0
03/03/2020,1,7,0,0,0
03/04/2020,5,2,0,0,0
03/05/2020,3,14,0,0,0
03/06/2020,8,8,0,0,0
03/07/2020,7,8,0,0,0
03/08/2020,21,18,0,0,0
03/09/2020,57,37,0,0,0
03/10/2020,69,58,0,0,0
03/11/2020,155,80,1,0,0
03/12/2020,355,108,0,0,0
03/13/2020,619,151,0,0,0
03/14/2020,642,176,2,0,0
03/15/2020,1035,210,4,0,0
03/16/2020,2121,341,8,0,0
03/17/2020,2452,385,8,0,0
03/18/2020,2971,493,20,0,0
03/19/2020,3706,627,24,0,0
03/20/2020,4006,745,47,0,0
03/21/2020,2638,740,44,0,0
03/22/2020,2580,768,49,0,0
03/23/2020,3570,1141,82,0,0
03/24/2020,4498,1308,95,0,0
03/25/2020,4874,1414,124,0,0
03/26/2020,5044,1540,186,0,0
03/27/2020,5118,1565,218,0,0
03/28/2020,3479,1391,273,0,0
03/29/2020,3560,1493,290,0,0
03/30/2020,6129,1847,325,0,0
03/31/2020,5458,1791,385,0,0
04/01/2020,5448,1735,447,0,0
04/02/2020,5747,1663,497,0,0
04/03/2020,5669,1707,498,0,0
04/04/2020,3864,1449,510,0,0
04/05/2020,3780,1396,577,0,0
04/06/2020,6353,1735,576,0,0
04/07/2020,6042,1579,598,0,0
04/08/2020,5576,1549,568,0,0
04/09/2020,5071,1348,559,0,0
04/10/2020,4510,1283,539,0,0
04/11/2020,3733,1041,542,0,0
04/12/2020,2888,946,572,0,0
04/13/2020,3311,1147,570,0,0
04/14/2020,4144,976,507,0,0
04/15/2020,3876,865,454,0,0
04/16/2020,3530,779,413,0,0
04/17/2020,3584,787,384,0,0
04/18/2020,2172,586,390,0,0
04/19/2020,2344,533,399,0,0
04/20/2020,3792,629,363,0,0
04/21/2020,3063,586,323,0,0
04/22/2020,3447,512,311,0,0
04/23/2020,2841,443,330,0,0
04/24/2020,2535,462,314,0,0
04/25/2020,1595,327,264,0,0
04/26/2020,1003,313,245,0,0
04/27/2020,2289,367,269,0,0
04/28/2020,2726,350,229,0,0
04/29/2020,2340,311,237,0,0
04/30/2020,2022,255,224,0,0
05/01/2020,1887,262,210,0,0
05/02/2020,1058,204,190,0,0
05/03/2020,787,213,177,0,0
05/04/2020,1549,240,158,0,0
05/05/2020,1512,211,151,0,0
05/06/2020,1398,214,151,0,0
05/07/2020,1239,173,142,0,0
05/08/2020,1080,172,131,0,0
05/09/2020,657,122,99,0,0
05/10/2020,457,102,103,0,0
05/11/2020,1231,181,104,0,0
05/12/2020,1285,114,90,0,0
05/13/2020,1333,125,83,0,0
05/14/2020,1110,144,70,0,0
05/15/2020,873,124,86,0,0
05/16/2020,485,93,83,0,0
05/17/2020,360,81,77,0,0
05/18/2020,895,114,59,0,0
05/19/2020,1003,116,55,0,0
05/20/2020,1077,78,79,0,0
05/21/2020,1069,84,45,0,0
05/22/2020,1036,102,66,0,0
05/23/2020,455,74,60,0,0
05/24/2020,467,88,48,0,0
05/25/2020,464,78,47,0,0
05/26/2020,1050,75,38,0,0
05/27/2020,741,76,48,0,0
05/28/2020,646,80,38,0,0
05/29/2020,639,85,43,0,0
05/30/2020,346,55,52,0,0
05/31/2020,230,60,39,0,0
06/01/2020,686,84,35,0,0
06/02/2020,571,63,37,0,0
06/03/2020,515,75,43,0,0
06/04/2020,519,76,33,0,0
06/05/2020,402,56,28,0,0
06/06/2020,247,36,34,0,0
06/07/2020,197,54,25,0,0
06/08/2020,447,62,40,0,0
06/09/2020,419,65,31,0,0
06/10/2020,363,63,32,0,0
06/11/2020,363,50,21,0,0
06/12/2020,409,53,23,0,0
06/13/2020,196,34,15,0,0
06/14/2020,180,46,23,0,0
06/15/2020,380,53,20,0,0
06/16/2020,419,61,16,0,0
06/17/2020,356,50,20,0,0
06/18/2020,378,58,17,0,0
06/19/2020,361,45,15,0,0
06/20/2020,203,27,17,0,0
06/21/2020,172,43,23,0,0
06/22/2020,402,50,17,0,0
06/23/2020,381,44,19,0,0
06/24/2020,381,54,18,0,0
06/25/2020,298,42,15,0,0
06/26/2020,317,33,17,0,0
06/27/2020,206,42,12,0,0
06/28/2020,201,33,11,0,0
06/29/2020,437,49,16,0,0
06/30/2020,441,45,11,0,0
07/01/2020,395,38,9,0,0
07/02/2020,416,46,17,0,0
07/03/2020,234,30,11,0,0
07/04/2020,120,30,5,0,0
07/05/2020,155,27,8,0,0
07/06/2020,431,55,6,0,0
07/07/2020,461,47,6,0,0
07/08/2020,437,34,14,0,0
07/09/2020,390,46,6,0,0
07/10/2020,306,44,5,0,0
07/11/2020,259,33,8,0,0
07/12/2020,223,26,4,0,0
07/13/2020,483,49,14,0,0
07/14/2020,402,43,11,0,0
07/15/2020,440,44,12,0,0
07/16/2020,411,35,6,0,0
07/17/2020,413,49,11,0,0
07/18/2020,216,27,9,0,0
07/19/2020,176,38,7,0,0
07/20/2020,401,38,8,0,0
07/21/2020,340,24,6,0,0
07/22/2020,329,40,6,0,0
07/23/2020,308,32,8,0,0
07/24/2020,298,40,5,0,0
07/25/2020,153,35,11,0,0
07/26/2020,140,25,7,0,0
07/27/2020,312,39,3,0,0
