MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,MEDIAN_INCOME
10001,Chelsea/NoMad/West Chelsea,Manhattan,92840.00
10002,Chinatown/Lower East Side,Manhattan,36982.00
10003,East Village/Gramercy/Greenwich Village,Manhattan,118161.00
10004,Financial District,Manhattan,190223.00
10005,Financial District,Manhattan,189702.00
10006,Financial District,Manhattan,179044.00
10007,TriBeCa,Manhattan,224063.00
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,63717.00
10010,Flatiron/Gramercy/Kips Bay,Manhattan,132988.00
10011,Chelsea,Manhattan,138272.00
10012,Greenwich Village/SoHo,Manhattan,106467.00
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,113191.00
10014,Hudson Square/Meatpacking District/West Village,Manhattan,133501.00
10016,Kips Bay/Murray Hill/NoMad,Manhattan,126628.00
10017,East Midtown/Murray Hill,Manhattan,131045.00
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,122484.00
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,103792.00
10021,Lenox Hill/Upper East Side,Manhattan,122169.00
10022,East Midtown,Manhattan,150718.00
10023,Lincoln Square,Manhattan,132605.00
10024,Upper West Side,Manhattan,143623.00
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,91624.00
10026,Central Harlem (South),Manhattan,59691.00
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,51938.00
10028,Upper East Side/Yorkville,Manhattan,122969.00
10029,East Harlem,Manhattan,33720.00
10030,Central Harlem (North),Manhattan,42348.00
10031,Hamilton Heights/West Harlem,Manhattan,53660.00
10032,Washington Heights (South),Manhattan,53525.00
10033,Washington Heights (North)/Washington Heights (South),Manhattan,63093.00
10034,Inwood/Washington Heights (North),Manhattan,54406.00
10035,East Harlem,Manhattan,29799.00
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,95301.00
10037,Central Harlem (North)/East Harlem,Manhattan,46263.00
10038,Chinatown/Financial District,Manhattan,95702.00
10039,Central Harlem (North)/Washington Heights (South),Manhattan,42278.00
10040,Washington Heights (North),Manhattan,49677.00
10044,Roosevelt Island,Manhattan,104808.00
